date,new_cases,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2/29/2020,34.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13647.00,-2.79,-1.05,-40.62
3/7/2020,265.00,15.00,10.70,0.00,0.00,6867.00,0.11,9.30,0.00,0.00,0.00,0.00,-13586.60,-2.48,0.10,-40.44
3/14/2020,2627.00,42.00,23.81,0.00,0.00,46013.00,0.75,65.90,0.00,0.00,0.00,0.00,-13316.20,-2.19,0.46,-39.64
3/21/2020,20895.00,224.00,24.54,0.00,0.00,344810.00,0.77,64.20,0.00,0.00,0.00,0.00,-13039.40,-1.96,0.47,-38.81
3/28/2020,82109.00,1337.00,18.45,0.00,0.00,760008.00,1.12,44.10,0.00,0.00,0.00,0.00,-11861.20,-1.64,2.03,-35.31
4/4/2020,164438.00,5753.00,12.85,0.00,0.00,1008036.00,1.38,35.40,0.00,0.00,0.00,0.00,-6131.80,-0.78,10.00,-18.25
4/11/2020,218050.00,13024.00,8.99,0.00,0.00,1186777.00,1.45,34.00,0.00,0.00,0.00,0.00,8966.60,1.07,26.40,26.69
4/18/2020,199013.00,15803.00,7.30,0.00,0.00,1111062.00,1.36,36.00,0.00,0.00,0.00,0.00,31259.40,3.49,39.25,93.05
4/25/2020,200703.00,15132.00,7.08,0.00,0.00,1464945.00,1.18,41.90,0.00,0.00,0.00,0.00,52396.00,5.51,37.97,155.97
5/2/2020,200132.00,13785.00,6.80,0.00,0.00,1890326.00,1.00,49.10,0.00,0.00,0.00,0.00,71256.40,7.08,34.26,212.11
5/9/2020,186495.00,13053.00,6.48,0.00,0.00,2239981.00,0.81,60.80,0.00,0.00,0.00,0.00,85482.20,8.05,25.83,254.46
5/16/2020,171237.00,10239.00,6.45,0.00,0.00,2703744.00,0.63,78.60,0.00,0.00,0.00,0.00,98041.40,8.79,23.15,291.84
5/23/2020,166990.00,8297.00,6.63,0.00,0.00,2897522.00,0.55,89.40,0.00,0.00,0.00,0.00,108821.20,9.31,20.07,323.93
5/30/2020,148658.00,7569.00,6.67,0.00,0.00,3229596.00,0.48,101.80,0.00,0.00,0.00,0.00,116852.80,9.56,14.99,347.84
6/6/2020,149030.00,6162.00,7.01,0.00,0.00,3574758.00,0.43,113.00,0.00,0.00,0.00,0.00,123332.20,9.67,12.18,367.12
6/13/2020,148034.00,5511.00,7.21,0.00,0.00,3808428.00,0.41,120.40,0.00,0.00,0.00,0.00,128574.99,9.67,9.77,382.73
6/20/2020,175249.00,4435.00,8.09,0.00,0.00,4290259.00,0.46,106.30,0.00,0.00,0.00,0.00,133416.39,9.65,9.10,397.14
6/27/2020,244843.00,6130.00,8.96,0.00,0.00,4713566.00,0.56,88.10,0.00,0.00,0.00,0.00,138349.60,9.64,9.30,411.83
7/4/2020,328340.00,4347.00,8.79,0.00,0.00,5254262.00,0.65,75.10,0.00,0.00,0.00,0.00,143911.80,9.67,10.51,428.38
7/11/2020,383992.00,5375.00,8.39,0.00,0.00,6007438.00,0.73,66.90,0.00,0.00,0.00,0.00,150588.39,9.77,12.56,448.26
7/18/2020,457894.00,6549.00,7.92,40705.00,152737.00,6596245.00,0.72,68.20,0.00,0.00,0.00,0.00,159711.19,10.01,17.27,475.41
7/25/2020,471701.00,7523.00,7.35,87448.00,313752.00,6815014.00,0.67,73.20,0.00,0.00,0.00,0.00,170415.78,10.35,20.40,507.28
8/1/2020,436218.00,8061.00,6.83,98888.00,327394.00,6308248.00,0.62,79.20,0.00,0.00,0.00,0.00,182299.58,10.73,22.70,542.65
8/8/2020,381587.00,7851.00,6.62,97485.00,314020.00,6075323.00,0.55,89.40,0.00,0.00,0.00,0.00,194113.58,11.08,22.54,577.82
8/15/2020,368907.00,7674.00,6.56,89705.00,286937.00,6061026.00,0.48,102.70,0.00,0.00,0.00,0.00,205243.17,11.37,21.17,610.95
8/22/2020,324868.00,6717.00,6.09,80552.00,262962.00,5908890.00,0.42,116.50,0.00,0.00,0.00,0.00,216525.58,11.66,21.55,644.53
8/29/2020,295581.00,6315.00,6.40,71900.00,233864.00,5961302.00,0.39,125.20,0.00,0.00,0.00,0.00,226869.78,11.88,19.81,675.32
9/5/2020,290882.00,5836.00,6.54,65443.00,213435.00,6063336.00,0.38,129.70,0.00,0.00,0.00,0.00,235374.78,12.00,16.17,700.64
