date,new_cases,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,tests_per_case,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations
2/29/2020,34,1,0,0,0,0,0,0,0,0,0,0
3/7/2020,265,15,10.7,0,0,6867,0.11,9.3,0,0,0,0
3/14/2020,2627,42,23.81,0,0,46013,0.75,65.9,0,0,0,0
3/21/2020,20895,224,24.54,0,0,344810,0.77,64.2,0,0,0,0
3/28/2020,82109,1337,18.45,0,0,760008,1.12,44.1,0,0,0,0
4/4/2020,164438,5753,12.85,0,0,1008036,1.38,35.4,0,0,0,0
4/11/2020,218050,13024,8.99,0,0,1186777,1.45,34,0,0,0,0
4/18/2020,199013,15803,7.3,0,0,1111062,1.36,36,0,0,0,0
4/25/2020,200703,15132,7.08,0,0,1464945,1.18,41.9,0,0,0,0
5/2/2020,200132,13785,6.8,0,0,1890326,1,49.1,0,0,0,0
5/9/2020,186495,13053,6.48,0,0,2239981,0.81,60.8,0,0,0,0
5/16/2020,171237,10239,6.45,0,0,2703744,0.63,78.6,0,0,0,0
5/23/2020,166990,8297,6.63,0,0,2897522,0.55,89.4,0,0,0,0
5/30/2020,148658,7569,6.67,0,0,3229596,0.48,101.8,0,0,0,0
6/6/2020,149030,6162,7.01,0,0,3574758,0.43,113,0,0,0,0
6/13/2020,148034,5511,7.21,0,0,3808428,0.41,120.4,0,0,0,0
6/20/2020,175249,4435,8.09,0,0,4290259,0.46,106.3,0,0,0,0
6/27/2020,244843,6130,8.96,0,0,4713566,0.56,88.1,0,0,0,0
7/4/2020,328340,4347,8.79,0,0,5254262,0.65,75.1,0,0,0,0
7/11/2020,383992,5375,8.39,0,0,6007438,0.73,66.9,0,0,0,0
7/18/2020,457894,6549,7.92,40705,152737,6596245,0.72,68.2,0,0,0,0
7/25/2020,471701,7523,7.35,87448,313752,6815014,0.67,73.2,0,0,0,0
8/1/2020,436218,8061,6.83,98888,327394,6308248,0.62,79.2,0,0,0,0
8/8/2020,381587,7851,6.62,97485,314020,6075323,0.55,89.4,0,0,0,0
8/15/2020,368907,7674,6.56,89705,286937,6061026,0.48,102.7,0,0,0,0
8/22/2020,324868,6717,6.09,80552,262962,5908890,0.42,116.5,0,0,0,0
8/29/2020,295581,6315,6.4,71900,233864,5961302,0.39,125.2,0,0,0,0
9/5/2020,290882,5836,6.54,65443,213435,6063336,0.38,129.7,0,0,0,0
9/12/2020,252456,5018,6.63,61170,196629,5661575,0.35,141,0,0,0,0
9/19/2020,276932,5236,7.27,56585,183823,6774035,0.32,152,0,0,0,0
9/26/2020,303286,4801,7.19,54858,183432,6885584,0.32,152,0,0,0,0
10/3/2020,297028,4558,7.26,56021,190321,6847985,0.34,145.7,0,0,0,0
10/10/2020,326390,4730,7.66,59736,210572,8036308,0.34,144.8,0,0,0,0
10/17/2020,377349,4713,7.96,65123,235010,7617740,0.38,128.2,0,0,0,0
10/24/2020,436177,5684,8.24,72525,264237,8587663,0.43,115.1,0,0,0,0
10/31/2020,544216,6107,8.43,80626,301371,8805496,0.49,100.6,0,0,0,0
11/7/2020,754275,6852,8.85,90700,351943,9747572,0.58,84.6,0,0,0,0
11/14/2020,961193,8706,8.82,106066,437507,10926635,0.72,68.4,0,0,0,0
11/21/2020,1159103,10132,8.25,127514,533384,12783138,0.74,66.4,0,0,0,0
11/28/2020,1191736,12251,7.5,145072,603412,11664329,0.7,69.7,0,0,0,0
12/5/2020,1221160,13866,7.78,159587,675308,12521963,0.81,60.6,0,0,0,0
12/12/2020,1446449,17119,7.69,170153,722416,12839573,0.83,59.1,0,0,0,0
12/19/2020,1527892,19105,7.27,180063,775680,12558263,0.84,58.4,2947449,78668,0,1093383
12/26/2020,1434655,19045,6.69,186153,807975,11042299,0.83,58.9,15950067,146969,0,1878155
1/2/2021,1313791,18838,7.31,192894,854068,10642038,0.97,50.7,33351492,299839,0,3105966
1/9/2021,1603592,20835,7.59,198451,894803,12913804,1.02,48.2,57970908,3571228,0,5613572
1/16/2021,1644742,23639,6.73,199796,886002,12602016,0.87,56.3,93185246,13939702,0,7179128
1/23/2021,1313760,22200,6.02,188191,811801,11902464,0.75,65.6,135266771,23917818,0,8371239
1/30/2021,1093806,22662,5.91,168989,709240,11353415,0.65,75.6,183436179,41314739,0,10315441
