date,Cases of acute respiratory infections,Cases of severe acute respiratory infections,Cases of influenza-like illnesses,Reported deaths caused by severe acute respiratory infections,A H1N12009 - Sentinel surveillance,A H1N12009 - Undefined surveillance,A H1N12009 - All types of surveillance,A H3 - Sentinel surveillance,A H3 - Undefined surveillance,A H3 - All types of surveillance,A H5 - Undefined surveillance,A H5 - All types of surveillance,A (unknown subtype) - Undefined surveillance,A (unknown subtype) - All types of surveillance,Influenza A - Sentinel surveillance,Influenza A - Undefined surveillance,Influenza A - All types of surveillance,B Victoria - Sentinel surveillance,B Victoria - Undefined surveillance,B Victoria - All types of surveillance,B (unknown lineage) - Sentinel surveillance,B (unknown lineage) - Undefined surveillance,B (unknown lineage) - All types of surveillance,Influenza B - Sentinel surveillance,Influenza B - Undefined surveillance,Influenza B - All types of surveillance,All strains - Sentinel surveillance,All strains - Undefined surveillance,All strains - All types of surveillance,Share of positive tests - Undefined surveillance,Share of positive tests - All types of surveillance,A H1N12009,A H3,A (unknown subtype),B Victoria,B Yamagata,B (unknown lineage),A H1N12009.1,A H1.1,A H3.1,A (unknown subtype).1,B Victoria.1,B Yamagata.1,B (unknown lineage).1,A H1N12009.2,A H3.2,A (unknown subtype).2,B Victoria.2,B Yamagata.2,B (unknown lineage).2,A H1N12009.3,A H1.3,A H3.3,A H5.3,A (unknown subtype).3,B Victoria.3,B Yamagata.3,B (unknown lineage).3,reported_sari_icu,outpatients_ari,outpatients_ili,inpatients_sari,inpatients_sari_icu,inf_negativenonsentinel,inf_negativenotdefined,spec_processed_nbnotdefined,spec_processed_nbsentinel,spec_received_nbnonsentinel,spec_received_nbnotdefined,spec_received_nbsentinel,inf_negativecombined,spec_processed_nbcombined,spec_received_nbcombined,date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
1/5/2009,3170,0,3803,0,0,0,0,124,663,787,0,0,938,938,462,2595,3057,0,63,63,23,166,189,23,240,263,485,2837,3322,15.12985974,17.71638846,0,787,938,63,8,189,0,338,124,0,0,0,23,0,0,0,0,0,0,0,841,663,0,938,63,8,166,0,0,129968,0,0,0,0,18751,0,0,8135,0,0,18751,8135,1/5/2009 0:00,1.47138,1.54566,3245,2548,8956,1539,579428
1/12/2009,3415,0,4505,0,0,0,0,148,1030,1178,0,0,1338,1338,544,3391,3935,0,38,38,47,205,252,47,258,305,591,3653,4244,18.25587206,21.2093953,0,1178,1338,38,12,252,0,396,148,0,0,0,47,0,0,0,0,0,0,0,774,1030,0,1338,38,12,205,0,0,135078,0,0,0,0,20010,0,0,8159,0,0,20010,8159,1/12/2009 0:00,1.61555,1.64224,3142,3345,9289,1512,565631
1/19/2009,3728,0,3912,0,0,0,0,202,1104,1306,0,0,1742,1742,872,3752,4624,0,59,59,77,351,428,77,430,507,949,4186,5135,18.6118892,22.83135476,0,1306,1742,59,12,428,0,670,202,0,0,0,77,0,0,0,0,0,0,0,789,1104,0,1742,59,12,351,0,0,117194,0,0,0,0,22491,0,0,9360,0,0,22491,9360,1/19/2009 0:00,1.95333,1.96524,3602,4597,11456,1566,582932
1/26/2009,3461,0,3748,0,0,0,0,179,957,1136,1,1,1771,1771,757,3763,4520,0,76,76,86,640,726,86,727,813,843,4492,5335,19.20971605,22.81474512,0,1136,1771,76,7,726,0,578,179,0,0,0,86,0,0,0,0,0,0,0,914,957,1,1771,76,7,640,0,0,126883,0,0,0,0,23384,0,0,10878,0,0,23384,10878,1/26/2009 0:00,2.42907,2.34368,4039,6602,14324,1554,611176
2/2/2009,3029,0,3316,0,0,1,1,116,741,857,1,1,2368,2368,474,4272,4746,0,95,95,86,1079,1165,86,1190,1276,560,5471,6031,20.10436189,22.16220189,1,857,2368,95,7,1165,0,358,116,0,0,0,86,0,0,0,0,0,0,1,1084,741,1,2368,95,7,1079,0,0,124915,0,0,0,0,27213,0,0,12977,0,0,27213,12977,2/2/2009 0:00,2.96686,2.86057,4606,8882,18268,1580,638613
2/9/2009,2838,0,2578,0,0,3,3,90,738,828,1,1,2193,2193,284,4350,4634,0,75,75,102,1429,1531,102,1526,1628,386,5879,6265,20.47433308,21.81862506,3,828,2193,75,10,1531,0,194,90,0,0,0,102,0,0,0,0,0,0,3,1373,738,1,2193,75,10,1429,0,0,119460,0,0,0,0,28714,0,0,13940,0,0,28714,13940,2/9/2009 0:00,3.57354,3.3421,5064,11215,21667,1569,648304
2/16/2009,2460,0,2674,0,0,0,0,74,570,644,0,0,1946,1946,207,3972,4179,0,135,135,125,1545,1670,125,1702,1827,332,5682,6014,20.55493253,21.75595992,0,644,1946,135,13,1670,0,133,74,0,0,0,125,0,0,0,0,0,0,0,1421,570,0,1946,135,13,1545,0,0,134713,0,0,0,0,27643,0,0,12832,0,0,27643,12832,2/16/2009 0:00,3.36653,3.20566,4848,9851,20022,1543,624583
2/23/2009,1672,0,2040,0,0,2,2,55,545,600,0,0,1830,1830,152,3493,3645,0,114,114,175,1826,2001,175,1963,2138,327,5472,5799,19.86206897,21.04900181,2,600,1830,114,15,2001,0,97,55,0,0,0,175,0,0,0,0,0,0,2,1098,545,0,1830,114,15,1826,0,0,135872,0,0,0,0,27550,0,0,12991,0,0,27550,12991,2/23/2009 0:00,3.2962,3.10049,4694,10092,20450,1544,659573
3/2/2009,1950,0,1721,0,0,2,2,35,511,546,2,2,1722,1722,105,3230,3335,0,138,138,241,1888,2129,241,2051,2292,346,5296,5642,20.06592657,21.37688023,2,546,1722,138,13,2129,0,70,35,0,0,0,241,0,0,0,0,0,0,2,984,511,2,1722,138,13,1888,0,0,123527,0,0,0,0,26393,0,0,11868,0,0,26393,11868,3/2/2009 0:00,3.17227,2.95819,4420,9116,18441,1534,623389
3/9/2009,1923,0,1144,0,0,7,7,30,477,507,1,1,1380,1380,65,2536,2601,0,154,154,239,1687,1926,239,1871,2110,304,4418,4722,18.62170706,19.90305585,7,507,1380,154,4,1926,0,35,30,0,0,0,239,0,0,0,0,0,0,7,667,477,1,1380,154,4,1687,0,0,96524,0,0,0,0,23725,0,0,10576,0,0,23725,10576,3/9/2009 0:00,2.5804,2.46381,4046,7446,15711,1524,637672
3/16/2009,1972,0,1347,0,0,15,15,10,477,487,1,1,1103,1103,36,2156,2192,0,174,174,140,1478,1618,140,1669,1809,176,3830,4006,17.80484403,18.62303008,15,487,1103,174,11,1618,0,26,10,0,0,0,140,0,0,0,0,0,0,15,558,477,1,1103,174,11,1478,0,0,133473,0,0,0,0,21511,0,0,9552,0,0,21511,9552,3/16/2009 0:00,2.42922,2.19272,3657,6036,13277,1494,605503
3/23/2009,2179,0,1136,0,0,26,26,10,450,460,1,1,788,788,21,1675,1696,0,103,103,87,1052,1139,87,1164,1251,108,2843,2951,14.93407575,15.50139203,26,460,788,103,4,1139,0,11,10,0,0,0,87,0,0,0,0,0,0,26,408,450,1,788,103,4,1052,0,0,128373,0,0,0,0,19037,0,0,8219,0,0,19037,8219,3/23/2009 0:00,1.99028,1.87395,3237,5052,11400,1470,608342
3/30/2009,2006,0,1194,0,0,56,56,19,730,749,3,3,603,603,31,1659,1690,0,112,112,70,829,899,70,966,1036,101,2627,2728,15.03376445,15.61176605,56,749,603,112,10,899,0,12,19,0,0,0,70,0,0,0,0,0,0,56,255,730,3,603,112,10,829,0,0,116575,0,0,0,0,17474,0,0,6514,0,0,17474,6514,3/30/2009 0:00,1.72423,1.64817,2829,4283,9669,1440,586651
4/6/2009,1634,0,1156,0,0,57,57,15,497,512,1,1,403,403,21,1171,1192,0,88,88,62,547,609,62,653,715,83,1824,1907,12.68869565,13.26608696,57,512,403,88,12,609,0,6,15,0,0,0,62,0,0,0,0,0,0,57,202,497,1,403,88,12,547,0,0,128389,0,0,0,0,14375,0,0,6324,0,0,14375,6324,4/6/2009 0:00,1.60355,1.49878,2577,3407,8460,1422,564460
4/13/2009,1277,0,1092,0,0,150,150,15,405,420,2,2,343,343,25,1029,1054,0,105,105,76,416,492,76,529,605,101,1564,1665,10.38788523,11.05871413,150,420,343,105,6,492,0,10,15,0,0,0,76,0,0,0,0,0,0,150,126,405,2,343,105,6,416,0,0,128367,0,0,0,1,15056,0,0,5719,0,1,15056,5719,4/13/2009 0:00,1.28418,1.29233,2371,2761,7222,1415,558837
