date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,week_number,year_number,year-week,weeknum,,h,c,,
9/30/2002 0:00,1.22262,1.16668,582,805,2060,754,176569,40,2002,2002-39,39,,,,,
10/7/2002 0:00,1.33344,1.2165,683,872,2267,785,186355,41,2002,2002-40,40,,,,,
10/14/2002 0:00,1.31929,1.13057,642,878,2176,831,192469,42,2002,2002-41,41,,,,,
10/21/2002 0:00,1.49484,1.25246,728,1045,2599,863,207512,43,2002,2002-42,42,,,,,
10/28/2002 0:00,1.47195,1.30237,823,1189,2907,909,223208,44,2002,2002-43,43,,,,,
11/4/2002 0:00,1.58094,1.40551,887,1272,3225,930,229454,45,2002,2002-44,44,,,,,
11/11/2002 0:00,1.49426,1.38437,851,1173,3097,923,223712,46,2002,2002-45,45,,,,,
11/18/2002 0:00,1.40569,1.32563,802,1166,2967,922,223818,47,2002,2002-46,46,,,,,
11/25/2002 0:00,1.6141,1.43475,834,978,2709,918,188814,48,2002,2002-47,47,,,,,
12/2/2002 0:00,1.45967,1.25433,857,1117,3049,937,243078,49,2002,2002-48,48,,,,,
12/9/2002 0:00,1.59896,1.25757,804,1179,2957,928,235136,50,2002,2002-49,49,,,,,
12/16/2002 0:00,2.16697,1.58017,951,1404,3416,908,216179,51,2002,2002-50,50,,,,,
12/23/2002 0:00,2.57842,1.98008,915,937,2857,865,144287,52,2002,2002-51,51,,,,,
12/30/2002 0:00,2.38636,1.90428,1028,1019,3260,879,171193,53,2002,2002-52,52,,,,,"WEEKNUM(A15,12)"
1/6/2003 0:00,1.73621,1.5901,1068,1296,3729,926,234513,2,2003,2003-1,1,,,,,
1/13/2003 0:00,2.06296,1.81559,1154,1798,4204,902,231550,3,2003,2003-2,2,,,,,
1/20/2003 0:00,2.58113,2.41801,1373,2998,5696,927,235566,4,2003,2003-3,3,,,,,
1/27/2003 0:00,2.93909,2.86635,1411,4064,7079,884,246969,5,2003,2003-4,4,,,,,
2/3/2003 0:00,3.22539,3.16662,1606,4447,7782,889,245751,6,2003,2003-5,5,,,,,
2/10/2003 0:00,3.06982,3.0155,1568,4224,7649,903,253656,7,2003,2003-6,6,,,,,
2/17/2003 0:00,3.20044,2.9978,1694,3689,7228,871,241110,8,2003,2003-7,7,,,,,
2/24/2003 0:00,2.44888,2.31957,1336,2583,5606,857,241683,9,2003,2003-8,8,,,,,
3/3/2003 0:00,2.1344,1.94707,1015,2103,4450,839,228549,10,2003,2003-9,9,,,,,
3/10/2003 0:00,1.99866,1.72985,880,1669,3810,835,220250,11,2003,2003-10,10,,,,,
3/17/2003 0:00,1.93849,1.51837,737,1321,2987,795,196724,12,2003,2003-11,11,,,,,
3/24/2003 0:00,1.41293,1.22616,624,1016,2439,775,198913,13,2003,2003-12,12,,,,,
3/31/2003 0:00,1.23472,1.05433,506,846,2028,741,192349,14,2003,2003-13,13,,,,,
4/7/2003 0:00,1.20005,1.07108,569,799,2082,735,194383,15,2003,2003-14,14,,,,,
4/14/2003 0:00,0.910135,0.82612,440,539,1467,669,177577,16,2003,2003-15,15,,,,,
4/21/2003 0:00,0.932265,0.820505,429,508,1445,682,176111,17,2003,2003-16,16,,,,,
4/28/2003 0:00,0.692175,0.630846,275,444,1075,655,170406,18,2003,2003-17,17,,,,,
5/5/2003 0:00,0.669406,0.63935,215,471,1005,613,157191,19,2003,2003-18,18,,,,,
5/12/2003 0:00,0.727705,0.586609,248,283,836,547,142514,20,2003,2003-19,19,,,,,
5/19/2003 0:00,0.717701,0.773024,264,262,740,406,95728,21,2003,2003-20,20,,,,,
5/26/2003 0:00,0.789394,0.790743,213,205,641,393,81063,22,2003,2003-21,21,,,,,
6/2/2003 0:00,0.722129,0.711847,201,195,563,344,79090,23,2003,2003-22,22,,,,,
6/9/2003 0:00,0.591326,0.794637,198,187,620,341,78023,24,2003,2003-23,23,,,,,
6/16/2003 0:00,0.52307,0.586604,139,123,423,322,72110,25,2003,2003-24,24,,,,,
6/23/2003 0:00,0.450236,0.615982,122,124,441,322,71593,26,2003,2003-25,25,,,,,
6/30/2003 0:00,0.397421,0.491507,109,91,318,310,64699,27,2003,2003-26,26,,,,,
7/7/2003 0:00,0.448002,0.604341,137,141,441,308,72972,28,2003,2003-27,27,,,,,
7/14/2003 0:00,0.474767,0.524478,98,98,365,301,69593,29,2003,2003-28,28,,,,,
7/21/2003 0:00,0.453251,0.590692,112,139,420,302,71103,30,2003,2003-29,29,,,,,
7/28/2003 0:00,0.352158,0.505135,100,120,361,290,71466,31,2003,2003-30,30,,,,,
8/4/2003 0:00,0.525322,0.634271,136,125,443,295,69844,32,2003,2003-31,31,,,,,
8/11/2003 0:00,0.492991,0.610118,120,131,421,283,69003,33,2003,2003-32,32,,,,,
8/18/2003 0:00,0.542728,0.641227,159,144,450,277,70178,34,2003,2003-33,33,,,,,
8/25/2003 0:00,0.490347,0.661429,166,155,463,276,70000,35,2003,2003-34,34,,,,,
9/1/2003 0:00,0.735914,0.792681,177,182,519,271,65474,36,2003,2003-35,35,,,,,
