horizon:1 mse:0.06700670719146729, mae:0.19566167891025543, smape:12.978403270244598, dtw:not calculated
horizon:2 mse:0.13791872560977936, mae:0.30727484822273254, smape:20.31579315662384, dtw:not calculated
horizon:3 mse:0.17217865586280823, mae:0.3410264849662781, smape:22.478249669075012, dtw:not calculated
horizon:4 mse:0.23894666135311127, mae:0.4119204580783844, smape:27.089723944664, dtw:not calculated
horizon:5 mse:0.3412582278251648, mae:0.4955354928970337, smape:32.38719701766968, dtw:not calculated
horizon:6 mse:0.3870846927165985, mae:0.5334552526473999, smape:34.79594588279724, dtw:not calculated
horizon:7 mse:0.46372395753860474, mae:0.5997523665428162, smape:39.011165499687195, dtw:not calculated
horizon:8 mse:0.5496205687522888, mae:0.6555664539337158, smape:42.456817626953125, dtw:not calculated
horizon:9 mse:0.6893112659454346, mae:0.6739831566810608, smape:43.05858016014099, dtw:not calculated
horizon:10 mse:0.6974681615829468, mae:0.7118600010871887, smape:45.62775790691376, dtw:not calculated
horizon:11 mse:0.7348186373710632, mae:0.7234973311424255, smape:46.19307518005371, dtw:not calculated
horizon:12 mse:0.7676417231559753, mae:0.7259228825569153, smape:46.15204632282257, dtw:not calculated
===============================================================================
average metrics: horizon upto:6 mse:0.2240656316280365, mae:0.3808123469352722, smape:25.00755488872528, dtw:not calculated
average metrics: horizon upto:12 mse:0.437248170375824, mae:0.5312880873680115, smape:34.3787282705307, dtw:not calculated
===============================================================================
average of horizons: mse:0.437248170375824, mae:0.5312880873680115, smape:34.3787282705307, dtw:not calculated
mean smape over horizons:  34.378729636470474



horizon:1 mse:0.33112630248069763, mae:0.4506682753562927, smape:29.292628169059753, dtw:not calculated
horizon:2 mse:0.47468945384025574, mae:0.5822963714599609, smape:37.74319887161255, dtw:not calculated
horizon:3 mse:0.7212989926338196, mae:0.7625606656074524, smape:49.1267591714859, dtw:not calculated
horizon:4 mse:0.6036468744277954, mae:0.6845730543136597, smape:44.24733817577362, dtw:not calculated
horizon:5 mse:0.8104519248008728, mae:0.7522059082984924, smape:47.84295856952667, dtw:not calculated
horizon:6 mse:0.8094459176063538, mae:0.7589428424835205, smape:48.34208786487579, dtw:not calculated
horizon:7 mse:0.7927730083465576, mae:0.7923955321311951, smape:50.81430673599243, dtw:not calculated
horizon:8 mse:0.9476218819618225, mae:0.8397286534309387, smape:53.313255310058594, dtw:not calculated
horizon:9 mse:0.9264042973518372, mae:0.82394939661026, smape:52.30724811553955, dtw:not calculated
horizon:10 mse:0.9492933750152588, mae:0.8350337743759155, smape:52.960485219955444, dtw:not calculated
horizon:11 mse:0.863182008266449, mae:0.7995299100875854, smape:50.91361403465271, dtw:not calculated
horizon:12 mse:0.7727347016334534, mae:0.7315275073051453, smape:46.65108025074005, dtw:not calculated
horizon:13 mse:0.9240145683288574, mae:0.8492124080657959, smape:54.10848259925842, dtw:not calculated
horizon:14 mse:0.6762449145317078, mae:0.7116163372993469, smape:45.75901925563812, dtw:not calculated
horizon:15 mse:0.6357387900352478, mae:0.6870371103286743, smape:44.25792992115021, dtw:not calculated
horizon:16 mse:0.6392948627471924, mae:0.6915498971939087, smape:44.54489052295685, dtw:not calculated
horizon:17 mse:0.547242283821106, mae:0.6666572093963623, smape:43.30388009548187, dtw:not calculated
horizon:18 mse:0.6732552647590637, mae:0.7272579073905945, smape:46.91081941127777, dtw:not calculated
horizon:19 mse:0.1357857584953308, mae:0.33335110545158386, smape:22.085651755332947, dtw:not calculated
horizon:20 mse:0.33703333139419556, mae:0.5012797117233276, smape:32.826900482177734, dtw:not calculated
